SbjNum,Dados_Escola_1,Dados_Escola_3,Dados_Escola_5,Dados_Escola_6,Dados_Escola_8,Dados_Escola_9,Dados_Escola_10,Dados_Escola_11,Dados_Escola_12,P1001,P1002,P1003,P1801,P1802,P1803,P1804,P2701,P2702,P2703,P2704,P2705,P2801,P2802,P2803,P2804,P2901,P2902,P2903,P3001,P3002,P3003,P3004,P3005,P34,Sexo
32545166,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,1,0,0,1,0,0,0,1,2,2,1,1,1,2,0,0,3,1,0,1,2,1,0,0,1,1
32547058,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,0,0,1,2,0,0,1,2,3,2,3,3,2,2,0,0,3,2,0,3,2,0,0,0,1,0
32642226,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,0,0,0,2,0,0,0,2,3,3,3,3,0,2,0,0,2,0,0,0,0,0,0,0,3,1
32644783,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,1,0,0,0,0,0,0,2,3,3,3,3,0,0,0,0,2,0,0,2,2,0,0,0,3,0
32642499,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,1,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,1,0,0,3,0,0,0,0,1,1
32643030,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,2,0,1,0,0,0,0,3,0
32547402,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,1,0,0,2,0,0,0,2,3,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,1,1
32643091,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,1,0,0,3,0,0,2,2,3,3,3,3,0,2,0,0,2,0,2,3,3,0,0,0,2,0
32642172,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,1,0,0,2,0,0,0,3,1,1,1,2,0,1,0,0,0,0,0,3,0,0,0,0,3,0
32643447,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,1,0,0,2,0,0,2,2,3,2,2,0,0,0,0,1,2,0,0,2,2,0,0,0,99,1
32644012,27,Leste 1,2 - Estadual,35001880,JOSE CHEDIAK,AV DO ORATORIO,2320,,PARQUE SAO LUCAS,1,0,0,2,0,0,1,2,2,2,2,2,0,1,0,1,1,1,0,3,2,0,0,0,3,0
32547072,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,1,0,0,0,0,0,0,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32548026,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,0,0,0,2,0,0,0,2,1,3,0,2,0,1,0,0,1,1,0,0,0,0,0,0,3,0
32548149,19,Oeste,2 - Estadual,35003967,KYRILLOS DOUTOR,R ANTONIO ADIB CHAMMAS,124,,INSTITUTO DE PREVIDENCIA,0,0,0,0,0,0,0,2,3,3,2,2,0,0,0,1,2,0,0,0,0,0,0,0,5,0
32917692,73,Sul 2,2 - Estadual,35925378,PARQUE TAMARI,R AMARO DE PONTES,854,,PARQUE TAMARI,0,0,1,0,0,0,0,2,3,3,3,3,0,0,0,0,0,0,0,2,0,0,0,0,5,0
32874982,13,Norte,4 - Privada,35100043,ESTRELA SIRIUS COLEGIO,RUA TATSUO OKACHI,209,,CHACARA INGLESA,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,2,0,0,0,0,0,0,0,99,0
32917729,73,Sul 2,2 - Estadual,35925378,PARQUE TAMARI,R AMARO DE PONTES,854,,PARQUE TAMARI,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0
32875345,13,Norte,4 - Privada,35100043,ESTRELA SIRIUS COLEGIO,RUA TATSUO OKACHI,209,,CHACARA INGLESA,1,1,0,3,0,0,1,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,1,1
32959977,73,Sul 2,2 - Estadual,35925378,PARQUE TAMARI,R AMARO DE PONTES,854,,PARQUE TAMARI,1,0,0,3,0,0,0,0,2,1,0,1,0,2,0,0,2,0,0,3,3,0,0,0,1,1
32916064,73,Sul 2,2 - Estadual,35925378,PARQUE TAMARI,R AMARO DE PONTES,854,,PARQUE TAMARI,0,0,0,0,0,0,0,2,3,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,99,0
32916326,73,Sul 2,2 - Estadual,35925378,PARQUE TAMARI,R AMARO DE PONTES,854,,PARQUE TAMARI,0,0,0,1,0,0,1,2,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0
32959978,73,Sul 2,2 - Estadual,35925378,PARQUE TAMARI,R AMARO DE PONTES,854,,PARQUE TAMARI,1,1,0,3,1,0,3,0,2,0,0,2,0,0,0,0,3,2,2,0,2,0,0,0,3,0
32921661,13,Norte,4 - Privada,35100043,ESTRELA SIRIUS COLEGIO,RUA TATSUO OKACHI,209,,CHACARA INGLESA,1,0,0,2,0,0,0,1,2,3,3,2,0,0,0,0,2,0,0,3,2,0,0,0,1,1
35769529,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1
36060442,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,0,0,0,0,0,0,2,1,3,3,3,2,2,0,0,1,2,2,0,0,0,0,0,0,1,1
35769526,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,0,0,0,0,0,0,2,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1
35769528,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,1,0,0,0,2,0,0,2,3,3,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,1
32924157,13,Norte,4 - Privada,35100043,ESTRELA SIRIUS COLEGIO,RUA TATSUO OKACHI,209,,CHACARA INGLESA,0,0,0,1,0,0,0,2,3,3,3,3,2,2,1,0,2,2,0,0,0,2,0,0,1,1
35769531,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,1
36060443,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,1,0,1,2,2,0,3,0,2,2,3,2,1,0,0,3,3,0,0,0,0,0,0,0,1,1
35769527,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,1,0,0,2,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,1
36059758,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,1,0,0,2,0,0,1,2,3,3,3,3,0,3,0,1,2,2,0,0,1,0,0,0,1,1
35469903,233,Norte,2 - Estadual,35037370,FRANCISCO DA COSTA GUEDES,AVENIDA DAS CEREJEIRAS,2435,,JARDIM JAPAO,0,1,0,0,0,0,0,1,3,1,3,3,0,0,0,0,1,2,1,1,1,0,0,0,1,1
32206893,28,Leste 1,2 - Estadual,35002240,ANTONIO CANDIDO BARONE,R ANGA,110,,VILA FORMOSA,0,0,0,2,2,0,2,2,3,3,3,3,3,0,0,0,2,0,0,1,0,0,0,0,3,1
36059759,230,Norte,2 - Estadual,35479500,JARDIM NOSSA SENHORA APARECIDA II,AV ELISIO TEIXEIRA LEITE,4511,,VILA BRASILANDIA,1,0,0,2,0,0,2,0,0,2,2,0,2,0,0,1,3,2,0,1,0,0,0,0,1,1
32271441,10,Norte,2 - Estadual,35290543,OSCAR DIAS CORREIA MINISTRO,AV ALEXIOS JAFET,1800,,JARDIM IPANEMA (ZONA OESTE),1,0,0,2,0,0,0,1,3,3,3,0,3,0,0,1,2,0,0,0,0,0,0,0,2,1
32271442,10,Norte,2 - Estadual,35290543,OSCAR DIAS CORREIA MINISTRO,AV ALEXIOS JAFET,1800,,JARDIM IPANEMA (ZONA OESTE),1,0,1,3,0,0,1,2,3,2,3,2,2,0,0,2,2,1,0,0,1,0,0,0,3,1
33934621,234,Norte,2 - Estadual,35130333,REPUBLICA DA COLOMBIA,R RENDEIRA,926,,JARDIM VISTA ALEGRE,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,2,0,0,2,1,0,0,0,1,0
32365942,8,Norte,2 - Estadual,35001302,ARNALDO BARRETO,R ANTONIO PESTANA,58,,TREMEMBE,1,0,0,2,1,0,2,0,1,0,3,0,3,0,0,0,2,2,0,0,0,0,0,0,99,1
32593603,8,Norte,2 - Estadual,35001302,ARNALDO BARRETO,R ANTONIO PESTANA,58,,TREMEMBE,1,0,0,0,0,0,0,0,3,3,3,2,2,2,2,1,2,0,0,1,0,0,0,0,2,0
31961403,52,Leste 2,4 - Privada,35805440,NOVA ESTRELA GUIA COLEGIO,RUA COLONIAL DAS MISSOES,331,,ITAQUERA,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,3,1
32058734,11,Norte,2 - Estadual,35916729,GUSTAVO BARROSO,R ALFEU DE ALCANTARA MONTEIRO,100,,CONJUNTO HABITACIONAL JOVA RURAL,0,0,0,0,0,0,0,2,3,3,3,3,0,0,0,0,3,0,0,2,0,0,0,0,99,0
32059692,11,Norte,2 - Estadual,35916729,GUSTAVO BARROSO,R ALFEU DE ALCANTARA MONTEIRO,100,,CONJUNTO HABITACIONAL JOVA RURAL,0,0,0,2,0,0,0,3,3,3,3,3,3,3,3,2,2,2,2,0,2,0,0,0,3,0
32061163,11,Norte,2 - Estadual,35916729,GUSTAVO BARROSO,R ALFEU DE ALCANTARA MONTEIRO,100,,CONJUNTO HABITACIONAL JOVA RURAL,1,1,0,2,0,0,2,2,2,3,3,3,0,0,3,3,3,2,1,2,2,0,0,0,3,0
32223617,11,Norte,2 - Estadual,35916729,GUSTAVO BARROSO,R ALFEU DE ALCANTARA MONTEIRO,100,,CONJUNTO HABITACIONAL JOVA RURAL,0,0,0,2,0,0,0,0,1,3,3,3,0,0,0,0,2,0,0,2,0,2,0,0,2,1
32595672,8,Norte,2 - Estadual,35001302,ARNALDO BARRETO,R ANTONIO PESTANA,58,,TREMEMBE,1,0,0,2,0,0,0,1,3,2,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0
35291042,376,Norte,4 - Privada,35299583,PAZ COLEGIO DA,RUA RAPHAEL DI SANDRO,44,,VILA PERUS,1,0,0,0,0,0,0,3,3,3,2,1,0,3,0,2,2,2,0,0,2,0,0,0,1,0
35301325,376,Norte,4 - Privada,35299583,PAZ COLEGIO DA,RUA RAPHAEL DI SANDRO,44,,VILA PERUS,1,0,1,0,0,0,0,2,3,3,3,3,0,0,2,1,2,1,0,1,0,0,0,0,1,1
35290135,376,Norte,4 - Privada,35299583,PAZ COLEGIO DA,RUA RAPHAEL DI SANDRO,44,,VILA PERUS,0,0,1,0,0,0,0,2,3,0,2,3,3,0,0,1,2,1,0,0,3,0,0,0,3,0
35300360,376,Norte,4 - Privada,35299583,PAZ COLEGIO DA,RUA RAPHAEL DI SANDRO,44,,VILA PERUS,0,0,0,0,0,0,0,2,3,0,3,3,3,0,0,0,3,3,0,0,0,0,0,0,1,1
33512340,1386,Sul 1,4 - Privada,35107049,COLEGIO EMILIE DE VILLENEUVE,R MADRE EMILIE DE VILLENEUVE,331,,VILA SANTA CATARINA,1,0,0,0,0,0,0,3,3,3,2,2,0,0,0,0,2,2,0,0,0,0,0,0,3,0
31972003,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,8,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
31972002,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,5,1
31975777,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,1,0,0,3,1,0,3,3,3,3,3,3,0,3,0,3,3,0,0,1,3,0,0,0,3,0
31976301,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,0,0,0,1,0,0,0,2,3,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0
32406022,12,Norte,3 - Municipal,35054446,EMEF ANTONIO SANT ANA GALVAO FREI,RUA GENERAL JERONIMO FURTADO,715,,JARDIM CABUCU,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,0,3,2,0,2,1,0,0,0,99,0
32408286,12,Norte,3 - Municipal,35054446,EMEF ANTONIO SANT ANA GALVAO FREI,RUA GENERAL JERONIMO FURTADO,715,,JARDIM CABUCU,0,0,0,3,0,0,0,2,3,2,3,2,3,2,2,2,3,2,2,2,0,0,0,0,3,1
32411745,12,Norte,3 - Municipal,35054446,EMEF ANTONIO SANT ANA GALVAO FREI,RUA GENERAL JERONIMO FURTADO,715,,JARDIM CABUCU,0,0,0,0,0,0,0,1,3,1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,99,0
33843125,78,Sul 2,4 - Privada,35140004,SAO SABAS COLEGIO,R DAS FLECHAS,255,,VILA SANTA CATARINA,1,0,0,0,0,0,0,2,2,2,3,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1
33662445,544,Oeste,3 - Municipal,35053260,EMEF ROBERTO MANGE PROF,RUA JOSE CERQUEIRA BASTOS,46,,JARDIM ESTER,0,1,1,0,2,0,0,3,3,2,1,3,3,1,3,3,2,2,1,0,0,0,0,0,3,0
33701336,544,Oeste,3 - Municipal,35053260,EMEF ROBERTO MANGE PROF,RUA JOSE CERQUEIRA BASTOS,46,,JARDIM ESTER,0,1,1,3,2,0,3,2,3,3,3,3,2,2,2,1,2,1,0,0,0,0,0,0,5,1
33706114,32,Leste 1,4 - Privada,35101734,SAO MIGUEL ARCANJO COLEGIO FRANCISCANO,R CAMPOS NOVOS,153,,VILA LUCIA,0,0,0,2,0,0,0,2,0,2,3,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1
31975995,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,1,0,1,0,0,0,0,1,1,2,3,3,0,0,0,1,1,0,0,0,0,0,0,0,4,0
31972004,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,1,0,1,3,0,0,2,1,0,3,3,3,3,0,0,3,3,0,2,0,0,1,1,0,2,1
31975846,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,1,0,0,3,0,0,3,3,2,3,3,3,0,0,0,2,1,0,0,0,1,0,0,0,99,0
31972007,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,2,0,0,1,2,0,0,0,3,1
33685383,981,Leste 2,2 - Estadual,35048689,RUTH CABRAL TRONCARELLI PROFESSORA,R ANTONIO GANDINI,690,,ITAQUERA,1,0,0,3,2,0,0,0,1,0,2,0,0,0,0,0,3,0,0,2,2,0,0,0,3,1
33682474,981,Leste 2,2 - Estadual,35048689,RUTH CABRAL TRONCARELLI PROFESSORA,R ANTONIO GANDINI,690,,ITAQUERA,0,0,0,1,1,0,1,2,3,3,3,3,2,2,0,2,2,0,0,1,1,0,0,0,2,1
33681322,981,Leste 2,2 - Estadual,35048689,RUTH CABRAL TRONCARELLI PROFESSORA,R ANTONIO GANDINI,690,,ITAQUERA,0,0,0,3,0,0,0,3,3,3,3,3,2,0,0,0,2,0,0,0,0,0,0,0,3,1
33679017,981,Leste 2,2 - Estadual,35048689,RUTH CABRAL TRONCARELLI PROFESSORA,R ANTONIO GANDINI,690,,ITAQUERA,0,0,0,3,0,0,0,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
33685382,981,Leste 2,2 - Estadual,35048689,RUTH CABRAL TRONCARELLI PROFESSORA,R ANTONIO GANDINI,690,,ITAQUERA,0,0,0,1,2,0,2,1,3,3,3,3,3,2,2,1,3,3,0,1,3,0,0,0,1,1
31972006,68,Sul 2,2 - Estadual,35044441,EURIPEDES SIMOES DE PAULA PROF,R MARIA PAPE,30,,JARDIM LUCELIA,1,1,0,3,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,99,1
35330051,546,Oeste,3 - Municipal,35355185,EMEF MARILI DIAS PROFA,RUA ANTONIO CONSELHEIRO,1,,VILA DOS PALMARES,0,0,0,1,3,0,3,3,3,2,3,3,3,2,3,3,3,0,0,3,3,1,0,0,2,1
35459653,546,Oeste,3 - Municipal,35355185,EMEF MARILI DIAS PROFA,RUA ANTONIO CONSELHEIRO,1,,VILA DOS PALMARES,0,1,1,0,2,0,2,2,3,3,3,3,2,0,0,0,3,2,0,0,0,0,0,0,99,1
35329677,546,Oeste,3 - Municipal,35355185,EMEF MARILI DIAS PROFA,RUA ANTONIO CONSELHEIRO,1,,VILA DOS PALMARES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
32919867,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
32915519,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,8,8,8,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
32878742,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,1,0,0,0,0,0,0,2,3,2,3,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0
32878486,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,0,1,9,2,0,0,0,2,0,3,1,0,0,2,0,0,3,1,0,0,3,0,0,0,1,0
33708359,778,Leste 1,4 - Privada,35101539,SANTA CRUZ LICEU,RUA SAO NICASIO,420,,PARQUE DA MOOCA,1,0,0,0,0,0,0,2,3,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,3,0
32351026,23,Oeste,4 - Privada,35118928,MODULO COLEGIO,R TITO,1175,,VILA ROMANA,1,0,0,1,0,0,0,3,3,2,8,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1
32876538,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,0,0,0,2,0,0,0,1,1,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,3,1
32917130,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,1,0,0,2,0,0,1,0,0,3,0,0,2,0,0,0,3,0,3,0,0,1,0,0,3,1
32876767,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,1,0,0,2,0,0,0,3,3,3,3,3,2,3,2,2,3,3,0,0,0,0,0,0,1,1
32878336,49,Leste 2,4 - Privada,35119234,TIETE COLEGIO,RUA JOAO GOMES PEREIRA,1125,,SAO MATEUS,0,0,0,3,0,0,1,1,1,1,1,2,0,1,0,2,3,2,0,0,1,2,0,0,1,0
33560572,1733,Sul 2,4 - Privada,35124795,MORUMBI SUL COLEGIO,R NOSSA SENHORA DO BOM CONSELHO,351,,CHACARA NOSSA SENHORA DO BOM CONSELHO,0,0,0,2,0,0,0,3,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0
33512583,1386,Sul 1,4 - Privada,35107049,COLEGIO EMILIE DE VILLENEUVE,R MADRE EMILIE DE VILLENEUVE,331,,VILA SANTA CATARINA,1,0,0,3,3,0,2,2,3,1,2,3,0,0,0,0,2,0,0,2,1,0,0,0,1,0
32406837,30,Leste 1,2 - Estadual,35041695,GUILHERME GIORGI COMENDADOR,R SEBASTIAO MARCHESONI,50,,JARDIM DAS ROSAS,1,0,0,0,0,0,0,0,2,3,3,3,0,2,0,0,3,3,0,0,0,0,0,0,99,0
32405442,30,Leste 1,2 - Estadual,35041695,GUILHERME GIORGI COMENDADOR,R SEBASTIAO MARCHESONI,50,,JARDIM DAS ROSAS,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,2,0,0,0,1,0,0,0,3,0
32404652,30,Leste 1,2 - Estadual,35041695,GUILHERME GIORGI COMENDADOR,R SEBASTIAO MARCHESONI,50,,JARDIM DAS ROSAS,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,2,0,1,1,0,0,0,1,1
35540091,862,Leste 1,4 - Privada,35287581,SAO PAULO COLEGIO,RUA DOUTOR RONALDO PORTO MACEDO,71,,4 PARADA,8,8,8,0,0,0,0,2,2,2,2,3,0,0,0,0,2,0,0,0,2,0,0,0,99,1
35544100,862,Leste 1,4 - Privada,35287581,SAO PAULO COLEGIO,RUA DOUTOR RONALDO PORTO MACEDO,71,,4 PARADA,8,0,0,1,0,0,2,3,3,2,1,2,0,0,0,8,0,0,0,0,0,0,0,0,3,0
35562901,862,Leste 1,4 - Privada,35287581,SAO PAULO COLEGIO,RUA DOUTOR RONALDO PORTO MACEDO,71,,4 PARADA,0,0,0,1,0,0,0,1,1,1,2,2,0,0,0,0,3,2,0,1,2,0,0,0,1,1
35562904,862,Leste 1,4 - Privada,35287581,SAO PAULO COLEGIO,RUA DOUTOR RONALDO PORTO MACEDO,71,,4 PARADA,1,0,0,1,0,0,0,2,0,1,0,2,1,2,1,1,3,0,0,3,0,0,0,0,1,0
35562905,862,Leste 1,4 - Privada,35287581,SAO PAULO COLEGIO,RUA DOUTOR RONALDO PORTO MACEDO,71,,4 PARADA,1,0,0,2,0,0,0,2,0,2,2,1,0,0,0,0,3,1,0,1,2,0,0,0,1,0
32317277,53,Sul 1,2 - Estadual,35004133,ENNIO VOSS PROFESSOR,AVENIDA PORTUGAL,1220,,BROOKLIN PAULISTA,1,0,0,0,1,0,1,3,0,2,2,3,0,0,0,8,1,0,0,1,0,0,0,0,99,1
32545887,44,Leste 2,2 - Estadual,35911008,URBANO DE OLIVEIRA PINTO REV,R TANTAS PALAVRAS,10,,CONJUNTO HABITACIONAL AGUIA DE HAIA,1,0,0,0,0,0,2,2,3,1,3,3,3,2,2,3,3,0,0,0,0,0,0,0,2,1
